,name,address,kurtosis_oxygen,pregnant,education-num,relationship,skewness_glucose,mean_glucose,std_oxygen,capital-gain,skewness_oxygen,kurtosis_glucose,personal_info,education,fnlwgt,class,std_glucose,income,mean_oxygen,hours-per-week,capital-loss
26,Jason Gilliard,"0006 Daniel Mount
Gregoryton, WY 32291",8.02251786,F,4.0, Not-in-family,0.410472932,95.8828125,18.12773204,0.0,76.12829962,0.615137034,"Transport-moving|United-States
Widowed -- Private|White", 7th-8th,128764.0,0.0,50.46790767, <=50K,2.973244147,20.0,0.0
27,Billy Brown,"424 Robyn Stravenue Suite 406
South David, GA 95890",4.044341157,FALSE,9.0, Not-in-family,0.01382897,117.625,31.60776273,0.0,16.97996514,0.33261719100000003,"Craft-repair|United-States
Never-married -- Private|Black", HS-grad,654141.0,0.0,47.26306036, <=50K,8.481605351,32.0,0.0
28,Howard Nguyen,"1037 Brandon Springs Suite 742
South Johnport, FL 41627",8.933075582999999,f,13.0, Husband,0.153004953,132.4921875,15.71581237,0.0,103.87651170000001,0.145232988,"Prof-specialty|United-States
nan -- Private|White", Bachelors,150324.0,0.0,47.62778799, >50K,2.8152173910000005,40.0,0.0
29,John Stone,"3835 Nathan Court Suite 576
Yeseniaport, MS 19827",0.740556013,f,, Husband,27.91794242,48.3671875,74.18078711,0.0,-0.606040114,4.500912427,"Farming-fishing|United-States
Married-civ-spouse -- Self-emp-not-inc|White", Masters,87209.0,1.0,30.0577234, <=50K,69.83862876,60.0,0.0
30,Jonathon Lowery,"192 Stewart Row
Andreabury, WY 53347",13.27578796,f,10.0, Husband,1.191035162,115.1015625,11.98148095,0.0,216.03610840000002,0.419871139,"Transport-moving|United-States
Married-civ-spouse -- private|White", Some-college,138845.0,0.0,39.50728569, <=50K,1.222408027,40.0,0.0
31,Mike Delacruz,"PSC 6835, Box 2308
APO AP 84084",3.550238297,f,9.0, Husband,14.80017013,63.2578125,48.89760005,0.0,11.74713975,3.0608215160000003,"Exec_managerial|United-States
Married-civ-spouse -- Private|White", HS-grad,50474.0,1.0,31.64136091, <=50K,14.76588629,40.0,0.0
32,Daniel Moeckel,"08528 Adams Parkway
Robertside, ND 91496",2.28921339,f,900.0, Husband,40.57944292,34.46875,57.340168299999995,0.0,4.723828954,5.882122601,"Sales|United-States
Married-civ-spouse -- Private|White", HS-grad,185360.0,1.0,27.84048802, <=50K,30.10702341,60.0,0.0
33,Chris Vinson,"493 Farmer Field
Christinehaven, AR 76908",8.23340823,F,, Husband,1.308325271,142.4765625,17.26708913,0.0,86.33066036,-0.14477642,"Sales|United-States
Married-civ-spouse -- Private|White", Masters,241126.0,0.0,41.10333108, >50K,2.961538462,40.0,0.0
34,Norman Larose,"788 Kimberly Valleys Suite 998
Port Tyronebury, WA 01087",8.38316254,f,4.0, Unmarried,-0.233323698,113.546875,21.970875699999997,0.0,73.69727891,0.038396599,"Other-service|United-States
Widowed -- Private|White", 7th-8th,466502.0,0.0,52.68981451, <=50K,2.925585284,30.0,0.0
35,James Hutchinson,"16106 Green Ridges
Johnsonside, CO 43807",14.12209181,f,7.0, Own-child,-0.6929764909999999,125.8046875,10.6065367,0.0,286.9520854,0.199381075,"Sales|United-States
Never-married -- private|White", 11th,703067.0,0.0,54.15531175, <=50K,1.602842809,20.0,0.0
36,Daniel Robleto,"USNS Bradford
FPO AP 78057",12.14268521,f,14.0, Unmarried,0.058516857,120.4765625,14.00527639,5455.0,168.6353251,0.297501917,"Prof-specialty|United-States
Divorced -- State-gov|White", Masters,108320.0,0.0,47.96287054, <=50K,1.5150501669999998,30.0,0.0
37,Marcel Moody,"92795 Smith Alley Apt. 153
South Thomas, MS 58229",0.443105226,f,9.0, Husband,3.4676679239999997,89.4296875,78.70648544,0.0,-1.4322468419999999,1.2552401709999998,"Machine_op_inspct|United-States
Married-civ-spouse -- Private|White", HS-grad,172865.0,1.0,37.86379446, <=50K,71.12207358,50.0,0.0
38,Tyler Ortega,"070 Erik Islands
Moralesshire, AR 09429",10.44405588,f,12.0, Unmarried,1.7593704380000001,86.8203125,16.60344986,0.0,123.79504250000001,0.768007764,"Exec-managerial|Taiwan
Divorced -- Private|Asian-Pac-Islander", Assoc-acdm,247600.0,0.0,38.40398612, <=50K,2.101170569,40.0,0.0
39,Douglas Blackwell,"578 Brandon Trail
Reedton, NY 43030",6.633057813,f,10.0, Husband,1.47792477,88.7109375,25.30894983,0.0,47.29675305,0.44255951600000004,"Craft-repair|United-States
Married-civ-spouse -- Self-emp-not-inc|White", Some-college,200515.0,0.0,39.20960348, <=50K,4.4448160539999995,40.0,0.0
40,Tim Price,"4811 Raymond Locks Suite 069
East Michael, PA 07829",5.454892942000001,f,10.0, Not-in-family,0.010932053999999998,156.15625,32.2011753,0.0,30.33757235,-0.51758053,"Protective-serv|United-States
nan -- Local-gov|Black", Some-college,145692.0,0.0,54.76589916, <=50K,6.780100334,40.0,1974.0
41,James Oelke,"24000 Johnson Fields
New Alexandra, AR 31568",2.9669367839999996,f,9.0, Not-in-family,32.00199897,31.25,51.18329936,0.0,8.228683085,5.168780031,"?|United-States
Widowed -- ?|White", HS-grad,103654.0,1.0,29.7943472, <=50K,19.06939799,20.0,0.0
42,Patrick Jacobs,"0837 Patrick Highway Suite 797
Port Jacquelinefort, MS 46400",10.9453944,f,14.0, Husband,0.655547027,128.5546875,16.99215948,0.0,127.7641631,0.146267049,"Exec-managerial|United-States
Married-civ-spouse -- Private|White", Masters,112497.0,0.0,46.06853057, >50K,1.7483277590000001,40.0,0.0
43,Justin Thomas,"25935 Guzman Village Suite 192
Lake Christopher, MD 61207",5.273107213,f,9.0, Unmarried,0.268530657,125.046875,32.02217293,0.0,28.06126566,0.18520822899999997,"Exec-managerial|United-States
Divorced -- Self-emp-inc|White", HS-grad,257764.0,0.0,46.51190361, <=50K,6.531772575,40.0,0.0
44,Richard Salcedo,"1107 Roberts Run
Andreaberg, SD 76062",8.375143522,f,9.0, Unmarried,-0.168472123,101.3828125,21.78579684,0.0,80.18800350000002,0.361765567,"Machine-op-inspct|United-States
Never-married -- Private|White", HS-grad,117244.0,0.0,51.08267213, <=50K,3.933110368,45.0,0.0
45,John Moon,"849 Porter Mills Suite 579
South Johnchester, CT 06833",9.648579966,f,11.0, Not-in-family,-0.012908726,118.5234375,13.54485845,0.0,129.08095490000002,0.08416855300000001,"Craft-repair|United-States
Never-married -- Self-emp-inc|White", Assoc-voc,215395.0,0.0,48.20447413, <=50K,2.355351171,50.0,0.0
46,John Guidry,"USNS Tran
FPO AE 67114",19.29897046,f,9.0, Other-relative,0.12598442699999998,132.234375,9.656682978,0.0,445.365623,-0.28250821,"Other-service|United-States
Never-married -- Private|White", HS-grad,222005.0,0.0,44.99487547, <=50K,0.803511706,30.0,0.0
47,Kevin Gardner,"49991 Cody Wall
Lake Michaelport, AL 67416",14.31635699,f,9.0, Unmarried,-0.681673757,116.5,12.54311989,0.0,239.8379829,0.168802807,"?|Mexico
Separated -- ?|White", HS-grad,201844.0,0.0,59.14032571, <=50K,1.264214047,40.0,0.0
48,Jason Johnson,"580 Aguilar Lakes Suite 711
Autumnland, CO 02301",9.638587747,f,9.0, Not-in-family,0.9362527629999999,113.515625,17.2246169,2346.0,105.88320719999999,0.487126633,"Sales|United-States
Divorced -- Self-emp-not-inc|White", HS-grad,242108.0,0.0,45.21424423, <=50K,2.315217391,15.0,0.0
49,David Humphrey,"64220 Perry Ridges Suite 106
Walshside, GA 30372",1.42530973,FALSE,13.0, Husband,0.400959309,149.6015625,71.8216676,0.0,0.35463112,-0.38002271200000004,"Craft-repair|United-States
Married-civ-spouse -- Private|White", Bachelors,167265.0,0.0,48.67949065, >50K,39.4916388,84.0,0.0
50,Michael Martinez,"190 Dana Square Apt. 786
North Megan, IL 15022",5.453714485,f,, Not-in-family,-0.274850658,126.1484375,31.9959053,0.0,29.38646455,0.098389394,"Adm-clerical|United-States
Divorced -- Private|White", HS-grad,306785.0,0.0,49.97844689, <=50K,6.133779264,40.0,0.0
51,David Palesano,"456 Johnston Avenue
South Julian, NH 13423",-0.9755618220000001,f,13.0, Husband,-0.734093041,118.203125,77.32444191,0.0,-0.915136066,0.012487668,"Sales|United-States
Married-civ-spouse -- Private|White", Bachelors,198660.0,0.0,56.37685132, <=50K,126.78929769999999,50.0,0.0
52,Jerome Sandiford,"772 Brent Mission Suite 924
New Tyrone, SC 32109",2.492788249,f,9.0, Not-in-family,1.534487234,84.40625,61.88144992,0.0,4.709442491,1.26590011,"Craft-repair|United-States
Divorced -- Private|White", HS-grad,122346.0,1.0,51.84659426, <=50K,23.59866221,40.0,0.0
53,Christopher Lawson,"49667 Scott Drive
Williamstown, SC 86380",1.3598266719999998,f,13.0, Husband,0.09937567,92.875,79.06566690000002,15024.0,-0.10653694699999999,0.653816387,"Sales|United-States
Married-civ-spouse -- Private|White", Bachelors,203488.0,0.0,53.19377901, >50K,42.14715719,40.0,0.0
54,Charlie Cagle,"USNV Williams
FPO AP 91192",12.68281848,f,-700.0, Other-relative,0.384454487,108.1328125,14.04191436,0.0,174.5671498,0.35919453799999995,"Machine-op-inspct|United-States
Never-married -- Private|White", 11th,140741.0,0.0,45.80194645, <=50K,1.245819398,40.0,0.0
55,Steve Parks,"6009 Stephen Mill
Alexandershire, NH 67734",13.68505242,f,9.0, Husband,1.758846735,83.859375,12.29299872,0.0,219.5815029,0.764697139,"Sales|South
Married-civ-spouse -- Self-emp-not-inc|Asian-Pac-Islander", HS-grad,133969.0,0.0,40.05206268, <=50K,1.150501672,63.0,0.0
56,Robert Delatorre,"02218 Franco Vista
Lake Charleschester, KY 06428",7.623345382,f,9.0, Not-in-family,-0.7560468340000001,115.171875,24.83404048,0.0,59.09459238,0.137645997,"Adm-clerical|Canada
Divorced -- Private|White", HS-grad,99385.0,0.0,60.88027562, <=50K,3.454849498,40.0,0.0
57,Lawrence Davenport,"PSC 4773, Box 2771
APO AP 40776",4.638705859,f,9.0, Husband,1.008369441,102.5,38.06237396,0.0,21.56844746,0.7505667909999999,"Exec-managerial|United-States
Married-civ-spouse -- local-gov|White", HS-grad,98361.0,1.0,51.58669887, <=50K,9.025919732,50.0,0.0
58,William Speegle,"692 George Mews Apt. 213
Lake Nancytown, AR 72586",5.150902617,f,14.0, Not-in-family,12.43219651,84.4453125,35.20039077,0.0,27.27294267,2.633667766,"Protective-serv|United-States
Never-married -- Local-gov|White", Masters,112835.0,1.0,33.64841392, <=50K,7.752508361,40.0,0.0
59,Albert Dwyer,"14457 Theresa Harbor Apt. 969
Port Aaron, AK 43436",0.955179239,f,-200.0, Husband,7.856506241,71.359375,80.17684382,0.0,-0.646309295,2.2876520769999997,"Farming-fishing|Mexico
Married-civ-spouse -- Private|White", 1st-4th,500002.0,1.0,39.08079259, <=50K,56.75334448,45.0,0.0
60,Daniel Price,"Unit 9068 Box 5321
DPO AE 96612",9.531867083,f,10.0, Own-child,-0.19340110300000002,106.09375,16.96928902,0.0,106.6541601,0.37112298,"Other_service|United-States
Never-married -- Private|White", Some-college,143062.0,0.0,51.14355371, <=50K,2.56270903,32.0,0.0
61,Loren Shields,"047 Robert Falls Apt. 805
West Amymouth, FL 87370",10.56089435,f,10.0, Other-relative,-0.011022418,93.96875,15.06544087,0.0,134.11499709999998,0.539944912,"?|United-States
Never-married -- ?|Black", Some-college,169184.0,0.0,51.81999154, <=50K,1.881270903,40.0,0.0
62,Samuel Lauffer,"77145 Kristine Dale Apt. 823
South Blakehaven, MI 48178",8.182831161000001,f,13.0, Own-child,-0.372772053,126.3671875,16.56509304,0.0,86.68429279,-0.079719202,"Adm-clerical|United-States
Never-married -- Private|White", Bachelors,184117.0,0.0,56.77984775, <=50K,3.099498328,40.0,0.0
63,David Garcia,"44689 Devin Village Suite 315
Port Justin, NM 90139",16.77326368,f,10.0, Own-child,0.267742351,132.4765625,13.10318649,0.0,298.847941,-0.00063905,"Craft-repair|United-States
Never-married -- Private|White", Some-college,51985.0,0.0,43.04248716, <=50K,0.93812709,30.0,0.0
64,Phillip Schroeder,"667 Timothy Junctions Suite 518
Elizabethshire, HI 88923",7.913536367000001,f,9.0, Husband,-0.157556828,113.15625,16.29624709,3908.0,80.32510264,0.098138556,"Craft-repair|United-States
Married-civ-spouse -- Private|White", HS-grad,160035.0,0.0,50.08359223, <=50K,2.9924749160000004,55.0,0.0
65,Sam Mitchell,"4417 Ortiz Common Apt. 799
Mccoymouth, MI 18771",8.26849383,f,, Own-child,-0.151129159,129.625,14.53043903,0.0,97.58767882,-0.08999024900000001,"Machine-op-inspct|United-States
Never-married -- Private|White", HS-grad,128346.0,0.0,50.09880862, <=50K,2.838628763,40.0,0.0
66,James Mckibben,"USNS Daniels
FPO AP 71430",7.513792186,f,900.0, Husband,-0.057811734000000004,126.6640625,22.22504161,0.0,63.36080527,0.0490332,"Machine-op-inspct|United-States
Married-civ-spouse -- Private|White", HS-grad,205337.0,0.0,47.12056964, <=50K,3.79180602,40.0,0.0
67,Peter Arnold,"2681 Singh Lights
Laurahaven, NC 23150",3.735397049,f,900.0, Husband,0.438904455,94.7734375,46.58635206,0.0,12.95735422,0.560923105,"Prof-specialty|Columbia
Married-civ-spouse -- Self-emp-not-inc|White", HS-grad,229946.0,1.0,48.13948075, <=50K,12.72826087,40.0,0.0
68,Thomas Sneeden,"0276 Hurst Radial
Payneton, ME 50180",3.470588382,f,10.0, Husband,20.34046798,49.0078125,46.73241804,0.0,11.44099546,3.9535188789999998,"Transport-moving|United-States
?? -- private|White", Some-college,210525.0,1.0,32.51237651, <=50K,14.65301003,40.0,0.0
69,William Kaufman,"584 Jerry Fork Suite 552
Pittsfurt, NC 13763",-0.014069783999999998,f,9.0, Husband,18.53141618,21.015625,67.25000775,0.0,-0.8117794429999999,4.452062155,"Farming-fishing|United-States
Married-civ-spouse -- Self-emp-not-inc|White", HS-grad,75804.0,1.0,45.07406828, >50K,121.30602009999998,65.0,0.0
70,Johnnie Nuno,"06365 Amanda Road Apt. 329
Kirkshire, TX 25200",7.000142032,F,13.0, Not-in-family,2.070405322,104.625,25.75856207,0.0,51.36951446,0.303667422,"Adm_clerical|United-States
Never-married -- Private|White", Bachelors,272411.0,0.0,35.03993258, <=50K,4.149665552,40.0,0.0
71,Joshua Eder,"997 White Coves
Andreaborough, NC 69022",11.06650472,f,10.0, Husband,-0.054545769,118.21875,13.83430778,0.0,145.15564890000005,-0.082574633,"Exec-managerial|United-States
Married-civ-spouse -- Private|White", Some-college,180062.0,0.0,47.47893242, <=50K,1.595317726,60.0,0.0
72,Faustino Reyes,"0048 Jensen Port
South Stephen, AL 72410",0.942460671,f,13.0, Husband,3.424513625,32.1328125,66.68108608,0.0,-0.058914231,2.191145781,"Craft-repair|United-States
Married-civ-spouse -- Private|White", Bachelors,138192.0,1.0,63.60171125, >50K,77.74498328,40.0,0.0
73,Edward Moutoux,"596 Lopez Locks
North Susanstad, NC 40502",1.781491554,f,10.0, Own-child,3.6392460189999998,105.140625,59.58570652,0.0,1.909746524,1.202375439,"?|United-States
nan -- ?|White", Some-college,233779.0,1.0,36.7161269, <=50K,31.8361204,60.0,0.0
74,Trent Prichard,"515 David Prairie
Lake Austinburgh, TX 34028",5.014885742,f,13.0, Own-child,13.13504707,37.6640625,27.56202757,0.0,29.18375371,3.4952567360000004,"Prof_specialty|United-States
Never-married -- Private|White", Bachelors,210794.0,1.0,39.51290876, <=50K,7.785117057000001,40.0,0.0
75,John Lopez,"8413 James Branch Suite 359
East Hannah, DC 26129",8.411201128,f,9.0, Husband,-0.018480168,114.2734375,17.47366854,0.0,79.97744117,0.249983111,"Exec-managerial|United-States
Married-civ-spouse -- self-emp-not-inc|White", HS-grad,175202.0,0.0,52.59065311, <=50K,2.465719064,24.0,0.0
76,James Montgomery,"96468 Brady Pines Apt. 278
Austinburgh, MA 82482",6.782996309,f,9.0, Husband,1.141763994,90.234375,21.75438806,0.0,49.98373208,0.8155997220000001,"Handlers-cleaners|United-States
?? -- local-gov|White", HS-grad,254949.0,1.0,44.01411073, <=50K,3.591137124,40.0,0.0
77,Robert Little,"68324 Novak Shoal Suite 743
East Anafurt, AK 68030",9.478091691,f,9.0, Unmarried,0.068066233,102.6171875,18.93964288,0.0,99.84019596,0.45773503299999996,"Other_service|United-States
Divorced -- Local-gov|Amer-Indian-Eskimo", HS-grad,94991.0,0.0,51.60034537, <=50K,2.443979933,40.0,0.0
78,Preston Petty,"4106 James Rue Apt. 040
Ellistown, KS 80811",-0.37942807799999995,f,15.0, Husband,8.806832605,26.2578125,60.77609984,15024.0,-1.1191715690000001,3.175990643,"Prof-specialty|United-States
Married-civ-spouse -- self-emp-not-inc|White", Prof-school,366089.0,1.0,49.60173354, >50K,181.7466555,40.0,0.0
79,Eric Lee,"95613 Sandra Inlet
Lake Kathrynland, SD 27431",12.05180895,f,13.0, Own-child,0.45280491,100.21875,13.94928318,0.0,173.6686045,0.282239936,"Prof-specialty|United-States
?? -- Private|White", Bachelors,89202.0,0.0,46.51829907, <=50K,1.572742475,50.0,0.0
80,Brian Fair,"7074 Bryant Port
New Michelle, AL 91335",13.74256203,f,7.0, Own-child,0.614292982,90.7109375,14.100387099999999,0.0,201.09396230000002,0.672328266,"?|United-States
Never-married -- ?|Black", 11th,304076.0,0.0,48.88317584, <=50K,1.158862876,20.0,0.0
81,William Andre,"87859 Nancy Fork Suite 963
Youngton, DC 53962",13.88530203,f,9.0, Not-in-family,1.1716288540000002,92.859375,11.00680669,0.0,260.5139526,0.701793872,"Other-service|United-States
Never-married -- Private|White", HS-grad,86723.0,0.0,45.21817499, <=50K,1.308528428,52.0,0.0
82,James Angelo,"92241 Holly Point Suite 738
Powellport, AL 50071",8.741076439,f,14.0, Not-in-family,0.8374895520000001,103.3515625,14.43733712,0.0,103.4999937,0.557997913,"Prof-specialty|United-States
Never-married -- Local-gov|White", Masters,216657.0,0.0,44.14793842, >50K,2.43729097,35.0,0.0
83,Michael Fairley,"018 Sarah Shore Apt. 014
East Joshua, NE 14163",8.970989966,f,13.0, Unmarried,1.095379178,105.921875,14.59896129,7430.0,105.84085719999999,0.42295777799999995,"Tech-support|Germany
Divorced -- Private|White", Bachelors,275364.0,0.0,41.00945192, >50K,2.238294314,40.0,0.0
84,David Amaya,"4394 Rebecca Extension Suite 442
North Jessicaborough, TX 66714",9.683360722,f,9.0, Unmarried,0.32375698199999997,125.5625,17.50064346,0.0,105.59949099999999,-0.017836252,"?|United-States
Never-married -- ?|Black", HS-grad,451940.0,0.0,45.23994191, <=50K,2.10451505,40.0,0.0
85,Roy Dempsey,"8258 Lawson Extensions
Kevinville, UT 54492",6.9289193560000015,f,10.0, Unmarried,0.548668904,113.90625,26.55974857,0.0,50.9337411,0.24376662300000002,"Other-service|United-States
Separated -- Private|White", Some-college,71733.0,0.0,43.80914529, <=50K,4.3829431439999995,15.0,0.0
86,Gregory Lomack,"1880 Thomas Common Apt. 553
East Erika, CT 76989",-1.283502152,FALSE,10.0, Own-child,7.695856564,60.4140625,75.10933413,0.0,0.48247398799999996,2.735270575,"Handlers-cleaners|United-States
Never-married -- private|White", Some-college,323421.0,1.0,43.64944289, <=50K,178.7006689,20.0,0.0
